Breakout-05
      Date,      Time,   Battery,  Fix,       Latitude,      Longitude,    Dp>0.3,    Dp>0.5,    Dp>1.0,    Dp>2.5,    Dp>5.0,   Dp>10.0,   PM1_Std, PM2.5_Std,  PM10_Std,   PM1_Env, PM2.5_Env,  PM10_Env
2022/05/05,  10:14:48,  4.110000,    1,      47.653351,    -122.304192,       237,        73,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0
2022/05/05,  10:14:58,  4.110000,    1,      47.653442,    -122.304192,       303,        98,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
2022/05/05,  10:14:58,  4.110000,    1,      47.653442,    -122.304192,       345,       100,         9,         0,         0,         0,         1,         2,         2,         1,         2,         2
2022/05/05,  10:15:18,  4.110000,    1,      47.653465,    -122.304214,       381,       106,        21,         3,         0,         0,         0,         1,         2,         0,         1,         2
2022/05/05,  10:15:38,  4.110000,    1,      47.653576,    -122.304291,       420,       125,         6,         0,         0,         0,         1,         1,         1,         1,         1,         1
2022/05/05,  10:15:58,  4.110000,    1,      47.653637,    -122.304291,       198,        63,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0
2022/05/05,  10:16:18,  4.110000,    1,      47.653690,    -122.304855,       324,        87,        12,         0,         0,         0,         0,         0,         0,         0,         0,         0
2022/05/05,  10:16:38,  4.110000,    1,      47.653637,    -122.304344,       384,       128,        12,         3,         3,         0,         1,         1,         3,         1,         1,         3
2022/05/05,  10:16:58,  4.110000,    1,      47.653553,    -122.304077,       255,        79,         3,         3,         3,         0,         0,         0,         2,         0,         0,         2
2022/05/05,  10:17:18,  4.110000,    1,      47.653442,    -122.303818,       309,       100,        15,         0,         0,         0,         2,         2,         2,         2,         2,         2
  2022/5/5,  10:17:54,  4.110000,    0,      47.653458,    -122.303741,       273,        88,        12,         3,         0,         0,         0,         0,         2,         0,         0,         2
  2022/5/5,  10:18:14,  4.110000,    0,      47.653458,    -122.303741,       237,        76,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
  2022/5/5,  10:18:34,  4.110000,    0,      47.653458,    -122.303741,       273,        73,         9,         0,         0,         0,         0,         0,         0,         0,         0,         0
  2022/5/5,  10:18:54,  4.110000,    0,      47.653458,    -122.303741,       390,       112,        18,         0,         0,         0,         1,         2,         2,         1,         2,         2
  2022/5/5,  10:19:14,  4.110000,    0,      47.653458,    -122.303741,       189,        54,         9,         3,         0,         0,         0,         0,         1,         0,         0,         1
2022/05/05,  10:19:18,  4.110000,    1,      47.653557,    -122.304344,       216,        66,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0
2022/05/05,  10:19:38,  4.110000,    1,      47.653366,    -122.304359,       279,        90,         6,         3,         3,         0,         0,         0,         2,         0,         0,         2
2022/05/05,  10:19:58,  4.110000,    1,      47.653519,    -122.304283,       261,        78,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0
2022/05/05,  10:20:18,  4.110000,    1,      47.653652,    -122.304291,       216,        69,         9,         0,         0,         0,         0,         0,         0,         0,         0,         0
2022/05/05,  10:20:38,  4.110000,    1,      47.653709,    -122.304207,       252,        75,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
2022/05/05,  10:20:58,  4.110000,    1,      47.653622,    -122.304230,       210,        57,        21,         6,         6,         0,         0,         0,         4,         0,         0,         4
2022/05/05,  10:21:18,  4.110000,    1,      47.653530,    -122.304169,       216,        63,        12,         0,         0,         0,         0,         0,         0,         0,         0,         0
2022/05/05,  10:21:38,  4.110000,    1,      47.653538,    -122.304153,       288,        90,         9,         0,         0,         0,         0,         1,         1,         0,         1,         1
2022/05/05,  10:21:58,  4.110000,    1,      47.653595,    -122.304131,       300,        93,        18,         0,         0,         0,         0,         1,         1,         0,         1,         1
2022/05/05,  10:22:18,  4.110000,    1,      47.653553,    -122.304100,       345,       105,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0
2022/05/05,  10:22:38,  4.110000,    1,      47.653442,    -122.303986,       270,        81,         9,         0,         0,         0,         0,         0,         0,         0,         0,         0
2022/05/05,  10:22:58,  4.110000,    1,      47.653385,    -122.304131,       279,        84,        15,         0,         0,         0,         0,         0,         0,         0,         0,         0
2022/05/05,  10:23:18,  4.110000,    1,      47.653458,    -122.304253,       300,        85,         6,         3,         0,         0,         1,         1,         2,         1,         1,         2
2022/05/05,  10:23:38,  4.110000,    1,      47.653465,    -122.304230,       279,        87,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0
2022/05/05,  10:23:58,  4.110000,    1,      47.653431,    -122.304214,       291,        88,         3,         0,         0,         0,         1,         1,         1,         1,         1,         1
2022/05/05,  10:24:18,  4.110000,    1,      47.653439,    -122.304268,       315,        87,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0
2022/05/05,  10:24:38,  4.110000,    1,      47.653545,    -122.304344,       444,       148,        21,         3,         0,         0,         2,         2,         4,         2,         2,         4
2022/05/05,  10:24:58,  4.110000,    1,      47.653488,    -122.304321,       198,        63,         9,         0,         0,         0,         1,         1,         1,         1,         1,         1
2022/05/05,  10:25:18,  4.110000,    1,      47.653492,    -122.304359,       135,        42,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0
